WORD                  TEXT  LINE  OLEN  WLEN  XPOS  WNUM  FDUR  OBLP  WDLP  LAUN    TXFR                                            
that                    10     2     4     4    17   619   171     2     2    13     871
competition             10     2    11    11     2   617   485     2     2    15       4
that                    10     2     4     4    15   619   188     0     0   -13     871
tiny                    10     2     4     4    51   623   129     4     4   -36      13
tiny                    10     2     4     4    47   623   268     0     0     4      13
tiny                    10     2     4     4    50   623   156     3     3    -3      13
tiny                    10     2     4     4    66   626   184     3     3   -16      13
with                    10     2     4     4    62   625   167     4     4     4     393
distinctions            10     2    12    12    72   627   195     4     4   -10       2
distinctions            10     2    12    12    75   627   138     7     7    -3       2
helped                  10     3     6     6     4   628   283     4     4   -99       8
produce                 10     3     7     7    17   630   178     7     7   -13       9
the                     10     3     3     3    28   633   164     3     3   -11    3511
greatest                10     3     8     8    36   634   177     7     7    -8       7
ever                    10     3     4     4    42   635   216     4     4    -6      38
advances                10     3     8     8    49   636    81     6     6    -7       5
years,                  10     5     6     5    56   663    77     0     0   -99     104
the                     10     3     3     3    57   638    89     2     2   -99    3511
scientific              10     3    10    10    71   641   190     1     1   -14      14
scientific              10     3    10    10    76   641    99     6     6    -5      14
thought.                10     4     8     7     7   642   197     7     7   -99      24
Darwin                  10     4     6     6    19   644   297     0     0   -12       2
called,                 10     4     7     6    29   645   159     3     3   -10      22
islands                 10     4     7     7    40   647   204     0     0   -11       7
on                      10     4     2     2    48   648   158     0     0    -8     417
called,                 10     4     7     6    32   645   309     6     6    16      22
these                   10     4     5     5    37   646    53     3     3    -5      73
Darwin                  10     4     6     6    21   644   222     2     2    16       2
Darwin                  10     4     6     6    19   644    64     0     0     2       2
called,                 10     4     7     6    31   645   229     5     5   -12      22
islands                 10     4     7     7    43   647   185     3     3   -12       7
Equator                 10     4     7     7    56   650   174     1     1   -13       1
have                    10     4     4     4    67   651   108     4     4   -11     361
the                     10     5     3     3     9   655   207     0     0   -99    3511
balance                 10     5     7     7    25   657   243     4     4   -16       3
balance                 10     5     7     7    21   657    61     0     0     4       3
the                     10     5     3     3     9   655   217     0     0    12    3511
maintain                10     5     8     8     8   654   113     8     8     1       5
balance                 10     5     7     7    21   657   120     0     0   -13       3
their                   10     5     5     5    35   659   228     3     3   -14     225
of                      10     5     2     2    31   658   193     2     2     4    1757
ecology.                10     5     8     7    42   660   259     4     4   -11       1
Over                    10     5     4     4    49   661   169     2     2    -7      76
years,                  10     5     6     5    57   663   272     1     1    -8     104
the                     10     5     3     3    64   664   172     1     1    -7    3511
indigenous              10     5    10    10    69   665   170     2     2    -5       1
indigenous              10     5    10    10    72   665   260     5     5    -3       1
animal                  11     1     6     6     2   666   192     2     2     0       3
population              11     1    10    10     8   667   198     1     1    -6      11
population              11     1    10    10    14   667   152     7     7    -6      11
under                   11     1     5     5    27   670   203     0     0   -13      32
under                   11     1     5     5    32   670    98     5     5    -5      32
increasing              11     1    10    10    40   671   249     7     7    -8       3
threat,                 11     1     7     6    47   672   211     3     3    -7       7
from                    11     1     4     4    53   673    79     1     1    -6     248
*Blink                  11   -99     4     4   -99   -99    63   -99   -99   -99     -99
from                    11     1     4     4    55   673   167     3     3   -99     248
wayward                 11     1     7     7    57   674   190     0     0    -2       1
wayward                 11     1     7     7    62   674   190     5     5    -5       1
fishermen,              11     1    10     9    70   675   153     5     5    -8       1
fishermen,              11     1    10     9    75   675   137    10    10    -5       1
feral                   11     2     5     5     8   678   222     3     3   -99       1
dogs,                   11     2     5     4    12   679   183     1     1    -4      12
goats                   11     2     5     5    18   680   258     1     1    -6       1
and                     11     2     3     3    24   681   227     1     1    -6    1283
rats                    11     2     4     4    30   682   354     3     3    -6       1
escaping                11     2     8     8    35   683   194     3     3    -5       2
from                    11     2     4     4    43   684   184     2     2    -8     248
human                   11     2     5     5    49   685   187     3     3    -6      25
settlements             11     2    11    11    55   686   211     3     3    -6       1
settlements             11     2    11    11    61   686   221     9     9    -6       1
boats.                  11     2     6     5    67   688   176     0     0    -6       3
boats.                  11     2     6     5    68   688   146     1     1    -1       3
the                     11     3     3     3     9   690   413     0     0   -99    3511
authorities             11     3    11    11    24   692   168     3     3   -15       9
authorities             11     3    11    11    31   692   113    10    10    -7       9
started                 11     3     7     7    39   693   215     6     6    -8       8
trying                  11     3     6     6    45   694   203     4     4    -6      23
eradicate               11     3     9     9    52   696   248     1     1    -7       1
eradicate               11     3     9     9    56   696   148     5     5    -4       1
the                     11     3     3     3    62   697   186     1     1    -6    3511
the                     11     3     3     3    64   697    92     3     3    -2    3511
have                    11     4     4     4    13   701   247     0     0   -99     361
succeeded               11     4     9     9    22   703   208     0     0    -9       2
succeeded               11     4     9     9    30   703   212     8     8    -8       2
freeing                 11     4     7     7    37   705   172     2     2    -7       2
some                    11     4     4     4    43   706   183     0     0    -6      86
entire                  11     4     6     6    50   707   256     2     2    -7       5
now                     11     4     3     3    21   702    77     3     3    29     107
have                    11     4     4     4    16   701   546     3     3     5     361
succeeded               11     4     9     9    31   703   166     9     9   -15       2
freeing                 11     4     7     7    38   705   186     3     3    -7       2
some                    11     4     4     4    43   706   154     0     0    -5      86
entire                  11     4     6     6    50   707   180     2     2    -7       5
entire                  11     4     6     6    53   707   144     5     5    -3       5
islands                 11     4     7     7    58   708   154     3     3    -5       7
from                    11     4     4     4    66   709   180     3     3    -8     248
non-native              11     4    10    10    69   710   154     1     1    -3     -99
*Off-screen             11   -99    10    10   -99   -99   206   -99   -99   -99     -99
infants                 11     5     7     7    71   721   316     3     3   -99       1
breeding                11     5     8     8    34   715   145     6     6    37       1
tortoise                11     5     8     8    27   714   167     8     8     7       1
tortoise                11     5     8     8    24   714   192     5     5     3       1
programme               11     5     9     9    40   716   116     3     3   -16       8
programme               11     5     9     9    42   716   173     5     5    -2       8
tortoise                11     5     8     8    27   714   166     8     8    15       1
tortoise                11     5     8     8    24   714   166     5     5     3       1
breeding                11     5     8     8    31   715   141     3     3    -7       1
*Blink                  11   -99     8     8   -99   -99    65   -99   -99   -99     -99
*Off-screen             11   -99     8     8   -99   -99    79   -99   -99   -99     -99
tortoise                11     5     8     8    24   714    76     5     5   -99       1
breeding                11     5     8     8    29   715   201     1     1    -5       1
programme               11     5     9     9    37   716   236     0     0    -8       8
programme               11     5     9     9    43   716   120     6     6    -6       8
tortoise                11     5     8     8    22   714   188     3     3    21       1
tortoise                11     5     8     8    21   714   116     2     2     1       1
is                      11     5     2     2    49   717   144     2     2   -28     717
place,                  11     5     6     5    56   719   203     3     3    -7      22
rearing                 11     5     7     7    65   720   165     5     5    -9       1
infants                 11     5     7     7    71   721   220     3     3    -6       1
infants                 11     5     7     7    75   721   223     7     7    -4       1
in                      11     5     2     2    77   722   335     1     1    -2    1091
*Off-screen             12   -99     2     2   -99   -99   221   -99   -99   -99     -99
protected               12     1     9     9     5   724   191     5     5   -99     -99
environment             12     1    11    11    14   725   210     4     4    -9      10
a                       12     1     1     1    26   727   182     1     1   -12    1434
when                    12     1     4     4    33   729    84     1     1    -7     144
*Blink                  12   -99     4     4   -99   -99    92   -99   -99   -99     -99
are                     12     1     3     3    45   731   243     3     3   -99     351
they                    12     1     4     4    37   730   137     0     0     8     258
greatest                12     1     8     8    52   733   201     3     3   -15       7
risk,                   12     1     5     4    60   734   242     2     2    -8      13
then                    12     1     4     4    68   736   181     0     0    -8      71
returning               12     2     9     9     8   737   267     8     8   -99     -99
wild.                   12     2     5     4    22   741   257     0     0   -14       3
there                   12     2     5     5    36   743   199     4     4   -14     189
strict                  12     2     6     6    44   745   194     2     2    -8       3
laws                    12     2     4     4    50   746   168     1     1    -6       5
now                     12     2     3     3    54   747   193     0     0    -4     107
in                      12     2     2     2    60   748   206     2     2    -6    1091
against                 12     2     7     7    67   750   124     0     0    -7      36
or                      12     3     2     2    10   752   262     2     2   -99     194
destroying              12     3    10    10    20   753   235     9     9   -10       3
wildlife                12     3     8     8    31   755   189     5     5   -11       5
though                  12     3     6     6    42   757   168     5     5   -11      37
recently                12     3     8     8    49   759   156     0     0    -7      12
recently                12     3     8     8    53   759   141     4     4    -4      12
group                   12     3     5     5    60   761   163     0     0    -7      18
of                      12     3     2     2    68   762   184     2     2    -8    1757
a                       12     3     1     1    59   760   186     1     1     9    1434
recently                12     3     8     8    57   759   116     8     8     2      12
12                      12     3     2     2    69   763   123     0     0   -12     -99
12                      12     3     2     2    71   763   131     2     2    -2     -99
discovered              12     4    10    10    16   767   310     2     2   -99       5
killed                  12     4     6     6    25   768   219     0     0    -9       5
apparently              12     4    10    10    33   769   202     1     1    -8       5
apparently              12     4    10    10    40   769   107     8     8    -7       5
posed                   12     5     5     5    48   782    88     0     0   -99       2
Japanese                12     4     8     8    54   772   170     3     3   -99       3
aphrodisiac             12     4    11    11    63   773   227     3     3    -9       1
aphrodisiac             12     4    11    11    70   773   241    10    10    -7       1
aphrodisiac             12     4    11    11    65   773   294     5     5     5       1
aphrodisiac             12     4    11    11    63   773   239     3     3     2       1
aphrodisiac             12     4    11    11    65   773   290     5     5    -2       1
aphrodisiac             12     4    11    11    66   773   410     6     6    -1       1
aphrodisiac             12     4    11    11    68   773   207     8     8    -2       1
serious                 12     5     7     7    15   777   391     6     6   -99      11
ecological              12     5    10    10    21   778   176     4     4    -6       1
threat,                 12     5     7     6    29   779   183     1     1    -8       7
threat,                 12     5     7     6    34   779   147     6     6    -5       7
however,                12     5     8     7    42   780   154     6     6    -8      38
posed                   12     5     5     5    50   782   173     2     2    -8       2
the                     12     5     3     3    57   784   146     0     0    -7    3511
greatest                12     5     8     8    63   785   156     2     2    -6       7
greatest                12     5     8     8    69   785   425     8     8    -6       7
the                     12     5     3     3    60   784   118     3     3     9    3511
the                     12     5     3     3    57   784   276     0     0     3    3511
*Off-screen             13   -99     3     3   -99   -99   147   -99   -99   -99     -99
boon                    13     1     4     4     1   787   269     1     1   -99       1
islands                 13     1     7     7    10   789   159     1     1    -9       7
*Off-screen             13   -99     7     7   -99   -99   361   -99   -99   -99     -99
the                     13     1     3     3     6   788    54     1     1   -99    3511
islands                 13     1     7     7    16   789   116     7     7   -10       7
ever                    13     1     4     4    26   791   347     4     4   -10      38
tourism.                13     1     8     7    33   793   211     1     1    -7       3
Ninety                  13     1     6     6    46   794   286     5     5   -13       1
boats,                  13     1     6     5    51   795   177     3     3    -5       3
ranging                 13     1     7     7    59   796   358     4     4    -8       2
in                      13     1     2     2    63   797   164     0     0    -4    1091
size                    13     1     4     4    68   798   281     2     2    -5      10
size                    13     1     4     4    67   798   187     1     1     1      10
12                      13     1     2     2    77   800   150     1     1   -10     -99
passengers              13     2    10    10     2   801   163     2     2   -99       3
100,                    13     2     4     3    15   803   172     1     1   -13     -99
the                     13     2     3     3    24   805   185     2     2    -9    3511
of                      13     2     2     2    33   807   153     0     0    -9    1757
islands.                13     2     8     7    44   809   183     4     4   -11       7
the                     13     2     3     3    56   812   198     0     0   -12    3511
whole,                  13     2     6     5    63   813   172     3     3    -7      12
schedules               13     2     9     9    74   815   183     3     3   -11       1
schedules               13     2     9     9    77   815   146     6     6    -3       1
are                     13     3     3     3     2   816   209     2     2   -99     351
are                     13     3     3     3     0   816   132     0     0     2     351
itineraries             13     3    11    11    27   820   234     5     5   -27       1
staggered,              13     3    10     9    38   822   234     0     0   -11       1
itineraries             13     3    11    11    24   820   261     2     2    14       1
staggered,              13     3    10     9    40   822   139     2     2   -16       1
that                    13     3     4     4    55   824   180     3     3   -15     871
most                    13     3     4     4    64   826    78     4     4    -9      93
*Blink                  13   -99     4     4   -99   -99   315   -99   -99   -99     -99
boats                   13     4     5     5     4   830   262     4     4   -99       3
at                      13     4     2     2    21   833   180     2     2   -17     269
location                13     4     8     8    29   835   168     3     3    -8       5
the                     13     4     3     3    41   837   164     3     3   -12    3511
you                     13     4     3     3    61   841   208     3     3   -20     179
ashore                  13     4     6     6    69   843   168     4     4    -8       3
you                     13     4     3     3    75   844   109     3     3    -6     179
be                      13     5     2     2     3   847   164     0     0   -99     423
guide,                  13     5     6     5    14   850   301     1     1   -11       9
cannot                  13     5     6     6    28   852   180     4     4   -14      11
stray                   13     5     5     5    36   853    75     5     5    -8       1
marked                  13     5     6     6    50   856   237     4     4   -14       3
trails,                 13     5     7     6    57   857   137     4     4    -7       3
cannot                  13     5     6     6    69   860   376     0     0   -12      11
*Off-screen             14   -99     6     6   -99   -99   216   -99   -99   -99     -99
wildlife.               14     1     9     8    10   863   186     0     0   -99       5
the                     14     1     3     3    29   866   187     2     2   -19    3511
of                      14     1     2     2    24   865   179     0     0     5    1757
on                      14     1     2     2    43   868   185     1     1   -19     417
boat                    14     1     4     4    52   870   183     3     3    -9       8
roundly                 14     1     7     7    60   872   235     2     2    -8       1
rightly                 14     1     7     7    72   874   211     2     2   -12       3
roundly                 14     1     7     7    62   872   146     4     4    10       1
rightly                 14     1     7     7    73   874   117     3     3   -11       3
chastised               14     2     9     9     1   875   279     1     1   -99       1
stroking                14     2     8     8    15   877   197     1     1   -14       1
young                   14     2     5     5    27   879   195     2     2   -12      43
sea-lion                14     2     8     8    32   880    94     1     1    -5     -99
*Blink                  14   -99     8     8   -99   -99    85   -99   -99   -99     -99
an                      14     2     2     2    43   882   243     1     1   -99     195
an                      14     2     2     2    43   882    55     1     1     0     195
potentially             14     2    11    11    57   885   207     0     0   -14       3
fatal                   14     2     5     5    69   886   222     0     0   -12       3
consequences            14     3    12    12     3   887   136     3     3   -99       8
the                     14     3     3     3    19   889   244     2     2   -16    3511
because                 14     3     7     7    33   891   202     3     3   -14      78
risk                    14     3     4     4    47   894   206     2     2   -14      13
rejection               14     3     9     9    57   896   188     4     4   -10       1
the                     14     3     3     3    69   898   198     3     3   -12    3511
the                     14     3     3     3    66   898   362     0     0     3    3511
rejection               14     3     9     9    58   896   194     5     5     8       1
risk                    14     3     4     4    47   894   339     2     2    11      13
of                      14     3     2     2    39   892   115     1     1     8    1757
because                 14     3     7     7    34   891   158     4     4     5      78
because                 14     3     7     7    30   891   212     0     0     4      78
*Blink                  14   -99     7     7   -99   -99    99   -99   -99   -99     -99
of                      14     3     2     2    51   895   213     1     1   -99    1757
rejection               14     3     9     9    62   896   181     9     9   -11       1
risk                    14     3     4     4    49   894   240     4     4    13      13
rejection               14     3     9     9    58   896   214     5     5    -9       1
the                     14     3     3     3    69   898   218     3     3   -11    3511
chastised               14     2     9     9     2   875   271     2     2   -99       1
stroking                14     2     8     8    14   877   229     0     0   -12       1
young                   14     2     5     5    28   879   238     3     3   -14      43
-                       14     2     1     1    41   881   182     1     1   -13     -99
action                  14     2     6     6    51   883   188     6     6   -10       9
potentially             14     2    11    11    65   885   261     8     8   -14       3
fatal                   14     2     5     5    71   886   200     2     2    -6       3
country                 14     4     7     7     8   902   250     3     3   -99      32
Ecuador,                14     4     8     7    25   906   240     1     1   -17       2
the                     14     4     3     3    35   907   175     2     2   -10    3511
to                      14     4     2     2    49   909   192     1     1   -14    1597
increase                14     4     8     8    57   910   171     6     6    -8       8
numbers                 14     4     7     7    66   912   240     2     2    -9       6
of                      14     4     2     2    72   913   218     0     0    -6    1757
*Blink                  14   -99     2     2   -99   -99    90   -99   -99   -99     -99
tourists                14     5     8     8     3   914   123     3     3   -99       3
always                  14     5     6     6    12   916   181     0     0    -9      26
there.                  14     5     6     5    22   917   170     3     3   -10     189
were                    14     5     4     4    29   919   162     0     0    -7     106
told                    14     5     4     4    38   920   228     4     4    -9      21
been                    14     5     4     4    51   922   251     4     4   -13     178
request                 14     5     7     7    62   925   222     1     1   -11       1
for                     14     5     3     3    70   926   163     1     1    -8     519
*Off-screen             14   -99     3     3   -99   -99   175   -99   -99   -99     -99
*Off-screen             15   -99     3     3   -99   -99   261   -99   -99   -99     -99
for                     15     1     3     3    12   928   173     1     1   -99     519
larger                  15     1     6     6    23   931   224     1     1   -11       4
boat                    15     1     4     4    32   932   170     3     3    -9       8
travel                  15     1     6     6    40   934   177     3     3    -8       4
the                     15     1     3     3    51   936   129     1     1   -11    3511
Galapagos,              15     1    10     9    61   937   243     7     7   -10       7
carrying                15     1     8     8    70   938   166     5     5    -9       4
some                    15     1     4     4    74   939    63     0     0    -4      86
*Off-screen             15   -99     4     4   -99   -99   134   -99   -99   -99     -99
*Off-screen             15   -99     4     4   -99   -99   365   -99   -99   -99     -99
shudder                 15     2     7     7    20   943   197     2     2   -99       1
think                   15     2     5     5    31   945   174     2     2   -11      52
might                   15     2     5     5    44   947   161     4     4   -13      56
happen                  15     2     6     6    50   948   183     4     4    -6       7
a                       15     2     1     1    61   951   194     0     0   -11    1434
arrived                 15     2     7     7    71   953   159     3     3   -10       9
arrived                 15     2     7     7    75   953   159     7     7    -4       9
*Blink                  15   -99     7     7   -99   -99    70   -99   -99   -99     -99
disgorged               15     3     9     9    21   958   199     2     2   -99       1
everyone                15     3     8     8    32   959    97     3     3   -11       7
*Blink                  15   -99     8     8   -99   -99    68   -99   -99   -99     -99
Fernandina              15     3    10    10    45   962   243     1     1   -99       2
Island                  15     3     6     6    56   963   214     1     1   -11       8
Fernandina              15     3    10    10    50   962   332     6     6     6       2
the                     15     3     3     3    66   965   264     1     1   -16    3511
same                    15     3     4     4    73   966   127     4     4    -7      36
Not                     15     4     3     3     3   968   191     3     3   -99     277
shock                   15     4     5     5    19   972   194     0     0   -16       3
thousand                15     4     8     8    30   975   199     0     0   -11       5
tramping                15     4     8     8    41   976   180     2     2   -11       1
feet                    15     4     4     4    52   977   246     4     4   -11       9
the                     15     4     3     3    65   979   244     3     3   -13    3511
the                     15     4     3     3    72   981   141     0     0    -7    3511
sand,                   15     5     5     4     2   982   159     2     2   -99       3
*Off-screen             15   -99     5     4   -99   -99   219   -99   -99   -99     -99
teeming                 15     5     7     7    20   985   246     6     6   -99       1
wildlife                15     5     8     8    30   986   175     8     8   -10       5
teeming                 15     5     7     7    14   985   166     0     0    16       1
and                     15     5     3     3     9   983   198     3     3     5    1283
teeming                 15     5     7     7    16   985   168     2     2    -7       1
that                    15     5     4     4    34   987    76     3     3   -18     871
it                      15     5     2     2    56   992   195     1     1   -22     544
seriously               15     5     9     9    64   994   166     0     0    -8       7
seriously               15     5     9     9    69   994   218     5     5    -5       7
degrade                 16     1     7     7     1   995   373     1     1     0       1
the                     16     1     3     3    25   999   197     2     2   -24    3511
quality                 16     1     7     7    16   997   143     4     4     9       5
degrade                 16     1     7     7     2   995   360     2     2    14       1
visitors'               16     1     9     8    36  1000   158     9     9   -34       3
experience.             16     1    11    10    43  1002   122     2     2    -7      17
Herein                  16     1     6     6    59  1003   344     2     2   -16       1
lies                    16     1     4     4    64  1004   231     0     0    -5      14
one                     16     1     3     3    71  1005   236     2     2    -7     176
oldest                  16     2     6     6     2  1008   297     2     2   -99       2
dilemmas                16     2     8     8    14  1009   242     7     7   -12       2
evolution               16     2     9     9    30  1012   205     4     4   -16       1
tourism.                16     2     8     7    43  1014   271     4     4   -13       3
value,                  16     2     6     5    53  1016   243     2     2   -10       8
to                      16     2     2     2    64  1018   216     2     2   -11    1597
to                      16     2     2     2    62  1018   141     0     0     2    1597
to                      16     2     2     2    71  1020   188     1     1    -9    1597
visit,                  16     2     6     5    74  1021   186     1     1    -3      12
the                     16     3     3     3     3  1022   273     3     3   -99    3511
and                     16     3     3     3    14  1024   226     3     3   -11    1283
environments            16     3    12    12    26  1026   213     3     3   -12       1
the                     16     3     3     3    40  1028   201     1     1   -14    3511
environments            16     3    12    12    34  1026   271    11    11     6       1
environments            16     3    12    12    32  1026   144     9     9     2       1
in                      16     3     2     2    55  1031   201     1     1   -23    1091
in                      16     3     2     2    54  1031    96     0     0     1    1091
in                      16     3     2     2    54  1031    86     0     0     0    1091
in                      16     3     2     2    56  1031   243     2     2    -2    1091
in                      16     3     2     2    54  1031   193     0     0     2    1091
visiting                16     3     8     8    62  1032   157     5     5    -8       4
we                      16     3     2     2    68  1033   142     2     2    -6     179
destroying              16     4    10    10     5  1035   254     5     5   -99       3
qualities               16     4     9     9    23  1038   254     3     3   -18       7
render                  16     4     6     6    40  1040   174     5     5   -17       2
render                  16     4     6     6    36  1040   186     1     1     4       2
places                  16     4     6     6    49  1042   157     1     1   -13       9
enticing.               16     4     9     8    60  1044   201     2     2   -11       1
so                      16     4     2     2    57  1043   155     2     2     3     154
This                    16     4     4     4    72  1045   215     4     4   -15     293
especially              16     5    10    10     2  1047   172     2     2   -99       9
true                    16     5     4     4    13  1048   188     2     2   -11      13
rarity                  16     5     6     6    28  1051   295     2     2   -15       2
the                     16     5     3     3    39  1053   217     3     3   -11    3511
quite                   16     5     5     5    51  1056   202     2     2   -12      48
marked                  16     5     6     6    59  1058   164     1     1    -8       3
as                      16     5     2     2    65  1059   205     0     0    -6     422
it                      16     5     2     2    70  1060   224     2     2    -5     544
in                      16     5     2     2    75  1062   202     1     1    -5    1091
the                     16     5     3     3    77  1063    91     0     0    -2    3511
Galapagos.              17     1    10     9     1  1064   299     1     1     0       7
Galapagos.              17     1    10     9     8  1064    68     8     8    -7       7
*Blink                  17   -99    10     9   -99   -99   109   -99   -99   -99     -99
Responsible             17     1    11    11    22  1065   284     7     7   -99       7
tourism                 17     1     7     7    31  1066   282     4     4    -9       3
lies                    17     1     4     4    39  1067   181     4     4    -8      14
absolute                17     1     8     8    47  1069   251     4     4    -8       2
respect                 17     1     7     7    53  1070   197     1     1    -6       6
respect                 17     1     7     7    57  1070   117     5     5    -4       6
location                17     1     8     8    68  1073   271     0     0   -11       5
location                17     1     8     8    72  1073   181     4     4    -4       5
inhabitants.            17     2    12    11     6  1076   201     2     2   -99       1
its                     17     2     3     3     3  1075   196     3     3     3     152
lies                    17     2     4     4    24  1078   314     4     4   -21      14
treading                17     2     8     8    33  1080   208     5     5    -9       1
carefully               17     2     9     9    40  1081   214     3     3    -7       5
wherever                17     2     8     8    51  1082    77     4     4   -11       1
wherever                17     2     8     8    54  1082   123     7     7    -3       1
we                      17     2     2     2    58  1083   101     2     2    -4     179
lies                    17     2     4     4    66  1086   100     0     0    -8      14
*Off-screen             17   -99     4     4   -99   -99    53   -99   -99   -99     -99
ensuring                17     3     8     8     8  1088   257     8     8   -99       2
economic                17     3     8     8    25  1091   258     7     7   -17      25
contribution            17     3    12    12    34  1092   243     7     7    -9       8
make                    17     3     4     4    47  1094   274     4     4   -13      60
going                   17     3     5     5    54  1096   161     3     3    -7      39
helps                   17     3     5     5    59  1097   126     2     2    -5       4
helps                   17     3     5     5    57  1097   413     0     0     2       4
going                   17     3     5     5    55  1096   346     4     4     2      39
conserve                17     3     8     8    66  1099   180     0     0   -11       1
conserve                17     3     8     8    71  1099   189     5     5    -5       1
conserve                17     3     8     8    74  1099   128     8     8    -3       1
than                    17     4     4     4     8  1101   192     1     1   -99     123
destroy.                17     4     8     7    19  1103   235     4     4   -11       5
lies                    17     4     4     4    33  1106   231     2     2   -14      14
developing              17     4    10    10    43  1108   152     4     4   -10       3
international           17     4    13    13    59  1110   101     5     5   -16      12
networks                17     4     8     8    68  1111   182     0     0    -9       1
international           17     4    13    13    57  1110   170     3     3    11      12
international           17     4    13    13    54  1110   181     0     0     3      12
to                      17     4     2     2    12  1102   172     0     0    42    1597
than                    17     4     4     4     7  1101   243     0     0     5     123
destroy.                17     4     8     7    19  1103   335     4     4   -12       5
And                     17     4     3     3    27  1104   151     3     3    -8    1283
in                      17     4     2     2    36  1107   192     0     0    -9    1091
developing              17     4    10    10    46  1108   239     7     7   -10       3
international           17     4    13    13    57  1110   233     3     3   -11      12
the                     17     4     3     3    53  1109   107     3     3     4    3511
international           17     4    13    13    59  1110   179     5     5    -6      12
networks                17     4     8     8    70  1111   214     2     2   -11       1
international           17     4    13    13    56  1110   125     2     2    14      12
protecting              17     5    10    10     8  1112   139     8     8   -99       2
endangered              17     5    10    10    18  1113   187     7     7   -10       1
and                     17     5     3     3    31  1115   183     1     1   -13    1283
heritage                17     5     8     8    47  1117   118     7     7   -16       2
heritage                17     5     8     8    43  1117   168     3     3     4       2
that                    17     5     4     4    54  1119   368     2     2   -11     871
that                    17     5     4     4    53  1119   162     1     1     1     871
they                    17     5     4     4    58  1120   151     1     1    -5     258
make                    17     5     4     4    68  1122   169     2     2   -10      60
a                       17     5     1     1    71  1123   179     0     0    -3    1434
*Off-screen             18   -99     1     1   -99   -99    68   -99   -99   -99     -99
difference              18     1    10    10     0  1124   206     0     0   -99      15
the                     18     1     3     3    15  1126   237     1     1   -15    3511
on                      18     1     2     2    11  1125   268     0     0     4     417
Fortunately,            18     1    12    11    39  1128   283     9     9   -28       2
Galapagos,              18     1    10     9    50  1131   114     0     0   -11       7
Charles                 18     1     7     7    68  1132   496     7     7   -18       3
Darwin                  18     1     6     6    73  1133   133     4     4    -5       2
would                   18     2     5     5     4  1134   181     4     4   -99     146
what                    18     2     4     4    24  1138   231     0     0   -20     125
saw                     18     2     3     3    35  1140   183     3     3   -11      16
returned                18     2     8     8    44  1143   195     2     2    -9       7
today.                  18     2     6     5    53  1144   190     2     2    -9      13
our                     18     2     3     3    65  1147   231     1     1   -12      84
duty                    18     2     4     4    71  1148   146     3     3    -6       5
to                      18     2     2     2    75  1149    63     2     2    -4    1597
ensure                  18     3     6     6     4  1150   258     4     4   -99       5
recognise               18     3     9     9    21  1154   256     0     0   -17       6
again,                  18     3     6     5    36  1156   225     2     2   -15      28
another                 18     3     7     7    48  1157   192     7     7   -12      33
centuries               18     3     9     9    55  1159   180     2     2    -7       4
hence.                  18     3     6     5    63  1160   152     0     0    -8       2
two                     18     3     3     3    49  1158   285     0     0    14      43
another                 18     3     7     7    45  1157   163     4     4     4      33
again,                  18     3     6     5    39  1156   578     5     5     6      28
two                     18     3     3     3    49  1158   132     0     0   -10      43
centuries               18     3     9     9    62  1159   168     9     9   -13       4
hence.                  18     3     6     5    67  1160   298     4     4    -5       2
*Off-screen             18   -99     6     5   -99   -99   164   -99   -99   -99     -99
'For                    19     1     4     3     2  1161   265     2     1     0     519
last                    19     1     4     4    10  1163   176     1     1    -8      73
weeks                   19     1     5     5    24  1165   283     4     4   -14      15
been                    19     1     4     4    36  1168   188     0     0   -12     178
utterly                 19     1     7     7    46  1170   125     2     2   -10       5
utterly                 19     1     7     7    51  1170    87     7     7    -5       5
inexplicable            19     1    12    12    55  1171   132     3     3    -4       1
rise                    19     1     4     4    67  1172   237     2     2   -12       7
the                     19     1     3     3    74  1174   143     1     1    -7    3511
prison                  19     2     6     6     2  1175   174     2     2   -99      23
population              19     2    10    10    13  1176   178     6     6   -11      11
600                     19     2     3     3    27  1179   288     0     0   -14     -99
a                       19     2     1     1    42  1181   176     1     1   -15    1434
population              19     2    10    10    13  1176   182     6     6    29      11
population              19     2    10    10     9  1176    93     2     2     4      11
of                      19     2     2     2    18  1177   287     0     0    -9    1757
600                     19     2     3     3    29  1179   219     2     2   -11     -99
prisoners               19     2     9     9    36  1180   169     5     5    -7       8
week.'                  19     2     6     4    44  1182   193     1     1    -8      42
*Blink                  19   -99     6     4   -99   -99    78   -99   -99   -99     -99
words                   19     2     5     5    59  1184   282     5     5   -99       6
Martin                  19     2     6     6    68  1186   222     5     5    -9       4
Narey,                  19     2     6     5    74  1187   184     4     4    -6       1
the                     19     2     3     3    79  1188    77     2     2    -5    3511
director-general        19     3    16    16     5  1189   342     5     5   -99     -99
Prison                  19     3     6     6    29  1192   262     5     5   -24      23
ought                   19     3     5     5    41  1194   191     1     1   -12       6
prompt                  19     3     6     6    51  1196   224     2     2   -10       2
than                    19     3     4     4    61  1198   172     0     0   -10     123
customary               19     3     9     9    72  1200   212     2     2   -11       1
customary               19     3     9     9    76  1200   146     6     6    -4       1
