WORD                  TEXT  LINE  OLEN  WLEN  XPOS  WNUM  FDUR  OBLP  WDLP  LAUN    TXFR                                            
then                     2     4     4     4    68   107   194     3     3     3      71
there                    2     4     5     5    73   108   151     3     3    -5     189
were                     2     4     4     4    79   109   121     3     3    -6     106
flightless               2     5    10    10     6   111   305     2     2   -99       1
cormorants,              2     5    11    10    20   112   376     5     5   -14       1
birds                    2     5     5     5    32   113   208     5     5   -12       8
vestigial                2     5     9     9    41   115   257     3     3    -9       1
wings                    2     5     5     5    50   116   281     2     2    -9       2
vestigial                2     5     9     9    46   115   289     8     8     4       1
over                     2     5     4     4    60   118   219     1     1   -14      76
who,                     2     5     4     3    57   117   144     3     3     3     157
the                      2     5     3     3    66   119   184     2     2    -9    3511
generations,             2     5    12    11    74   120   243     6     6    -8       2
generations,             2     5    12    11    77   120   477     9     9    -3       2
lost                     3     1     4     4     5   122   266     0     0     0      11
ability                  3     1     7     7    17   124   188     3     3   -12       9
have                     3     1     4     4     4   121   352     4     4    13     361
the                      3     1     3     3    12   123   139     2     2    -8    3511
because                  3     1     7     7    31   127   216     2     2   -19      78
because                  3     1     7     7    29   127   215     0     0     2      78
nutrients                3     1     9     9    42   129   274     1     1   -13       1
nutrients                3     1     9     9    50   129   153     9     9    -8       1
the                      3     1     3     3    37   128   363     0     0    13    3511
shoreline                3     1     9     9    58   132   302     0     0   -21       2
are                      3     1     3     3    69   133   163     1     1   -11     351
so                       3     1     2     2    74   134   137     2     2    -5     154
they                     3     2     4     4     4   136   157     4     4   -99     258
need                     3     2     4     4    15   139   190     2     2   -11      36
leave.                   3     2     6     5    22   141   438     1     1    -7      11
*Blink                   3   -99     6     5   -99   -99   430   -99   -99   -99     -99
Fernandina               3     2    10    10    46   145   291     0     0   -99       2
Fernandina               3     2    10    10    49   145   319     3     3    -3       2
Fernandina               3     2    10    10    52   145   385     6     6    -3       2
Fernandina               3     2    10    10    54   145   439     8     8    -2       2
Fernandina               3     2    10    10    46   145   216     0     0     8       2
island                   3     2     6     6    38   143   230     2     2     8       8
of                       3     2     2     2    45   144   174     2     2    -7    1757
lies                     3     2     4     4    57   146   225     0     0   -12      14
the                      3     2     3     3    67   148   278     2     2   -10    3511
western                  3     2     7     7    74   150   166     1     1    -7       3
western                  3     2     7     7    76   150    79     3     3    -2       3
edge                     3     3     4     4     3   151   411     3     3   -99       3
Galapagos                3     3     9     9    17   154   188     5     5   -14       7
edge                     3     3     4     4     4   151   265     4     4    13       3
Galapagos                3     3     9     9    16   154   188     4     4   -12       7
archipelago,             3     3    12    11    29   155   377     7     7   -13       1
dominated                3     3     9     9    41   156   264     6     6   -12       3
volcano                  3     3     7     7    50   159   182     0     0    -9       1
a                        3     3     1     1    48   158   106     0     0     2    1434
that                     3     3     4     4    59   160   182     1     1   -11     871
last                     3     3     4     4    66   161   189     3     3    -7      73
erupted                  3     3     7     7    71   162    97     3     3    -5       1
*Blink                   3   -99     7     7   -99   -99   315   -99   -99   -99     -99
last                     3     3     4     4    65   161   254     2     2   -99      73
erupted                  3     3     7     7    70   162   173     2     2    -5       1
only                     3     3     4     4    76   163   124     0     0    -6      97
years                    3     4     5     5     5   165   261     1     1   -99     104
home                     3     4     4     4    22   168   346     3     3   -17      19
some                     3     4     4     4    29   170   197     2     2    -7      86
most                     3     4     4     4    40   173    70     1     1   -11      93
*Blink                   3   -99     4     4   -99   -99   106   -99   -99   -99     -99
wildlife                 3     4     8     8    55   175   301     0     0   -99       5
wildlife                 3     4     8     8    59   175   170     4     4    -4       5
the                      3     4     3     3    70   177   343     3     3   -11    3511
world.                   3     4     6     5    77   178   141     6     6    -7      60
It                       3     4     2     2    79   179   158     1     1    -2     544
late                     3     5     4     4     8   181   316     4     4   -99      11
one                      3     5     3     3    22   184   193     0     0   -14     176
last                     3     5     4     4    33   187   200     0     0   -11      73
of                       3     5     2     2    44   189   210     1     1   -11    1757
year,                    3     5     5     4    53   191   183     3     3    -9      51
had                      3     5     3     3    64   194   183     1     1   -11     130
*Off-screen              3   -99     3     3   -99   -99   173   -99   -99   -99     -99
